시도명,시군구명,읍면도명,인구수,위도,경도
서울특별시,종로구,청운효자동,11605,37.5841367,126.9706519
서울특별시,종로구,사직동,9120,37.576196,126.9688397
서울특별시,종로구,삼청동,2322,37.5850126,126.981836
서울특별시,종로구,부암동,9178,37.5924785,126.9641
서울특별시,종로구,평창동,17602,37.6063166,126.9681871
서울특별시,종로구,무악동,8019,37.5760032,126.958148
서울특별시,종로구,교남동,9783,37.5719391,126.9619364
서울특별시,종로구,가회동,3969,37.5800784,126.9847995
서울특별시,종로구,종로1.2.3.4가동,6760,37.574461,126.9902618
서울특별시,종로구,종로5.6가동,5396,37.5720148,127.0050414
서울특별시,종로구,이화동,7096,37.577008,127.004338
서울특별시,종로구,혜화동,16197,37.5869186,127.0005764
서울특별시,종로구,창신제1동,4637,37.570758,127.016363
서울특별시,종로구,창신제2동,7682,37.574458,127.010863
서울특별시,종로구,창신제3동,6459,37.5779055,127.0150474
서울특별시,종로구,숭인제1동,5783,37.5778049,127.0156274
서울특별시,종로구,숭인제2동,9825,37.574867,127.019988
서울특별시,중구,소공동,2228,37.562442,126.977025
서울특별시,중구,명동,2728,37.560042,126.98585
서울특별시,중구,필동,3938,37.5601529,126.9955699
서울특별시,중구,장충동,4577,37.5618946,127.0078812
서울특별시,중구,광희동,5429,37.564494,127.0050623
서울특별시,중구,을지로동,1674,37.5667163,126.9913342
서울특별시,중구,신당동,7607,37.5620973,127.0145478
서울특별시,중구,다산동,13486,37.5542861,127.0082322
서울특별시,중구,약수동,16347,37.552479,127.0090022
서울특별시,중구,청구동,13149,37.557083,127.014687
서울특별시,중구,신당제5동,10127,37.565142,127.02185
서울특별시,중구,동화동,10033,37.5600562,127.0194239
서울특별시,중구,황학동,12739,37.5673446,127.0212812
서울특별시,중구,중림동,11987,37.5548629,126.9644863
서울특별시,용산구,후암동,16294,37.5486375,126.9781344
서울특별시,용산구,용산2가동,9043,37.5461327,126.9855777
서울특별시,용산구,남영동,7075,37.5457586,126.9748403
서울특별시,용산구,청파동,19080,37.5488,126.9674
서울특별시,용산구,원효로제1동,17161,37.5372185,126.9676811
서울특별시,용산구,원효로제2동,13695,37.53435,126.951538
서울특별시,용산구,효창동,10743,37.5424569,126.9618498
서울특별시,용산구,용문동,11493,37.5389,126.957562
